appid,player_id,game_name,play_time,genres,categories,currency,initial_price,final_price,discount_percent
341550,0,Super Cyborg,141,"['Action', 'Indie']","['Co-op', 'Family Sharing', 'Multi-player', 'Online Co-op', 'Partial Controller Support', 'Remote Play Together', 'Shared/Split Screen', 'Shared/Split Screen Co-op', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,399,399,0
341640,0,Relativity Wars - A Science Space RTS,0,"['Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']","['Commentary available', 'Family Sharing', 'Single-player']",GBP,499,499,0
341680,0,stratO,296,"['Action', 'Indie', 'Simulation']","['Family Sharing', 'Full controller support', 'Single-player', 'Steam Achievements', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,399,399,0
341720,0,Among Ripples,0,"['Casual', 'Free To Play', 'Indie', 'Simulation']","['Family Sharing', 'Single-player']",0,0,0,0
341730,0,Dustoff Heli Rescue,127,"['Action', 'Indie']","['Family Sharing', 'Full controller support', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,289,289,0
341800,0,Keep Talking and Nobody Explodes,0,['Indie'],"['Co-op', 'Family Sharing', 'Full controller support', 'Multi-player', 'Remote Play Together', 'Remote Play on TV', 'Shared/Split Screen', 'Shared/Split Screen Co-op', 'Stats', 'Steam Achievements', 'Steam Leaderboards', 'Steam Workshop', 'Tracked Controller Support', 'VR Support', 'VR Supported']",GBP,1279,1279,0
341890,0,Hitbox,170,"['Action', 'Indie']","['Full controller support', 'Multi-player', 'Online PvP', 'PvP', 'Remote Play Together', 'Shared/Split Screen', 'Shared/Split Screen PvP', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",0,0,0,0
341930,0,Space Station Alpha,0,"['Indie', 'Simulation', 'Strategy']","['Family Sharing', 'Single-player', 'Steam Achievements']",GBP,479,479,0
341940,0,Hatred,286,"['Action', 'Indie']","['Family Sharing', 'Partial Controller Support', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,479,479,0
341950,0,Lux Delux,213,"['Indie', 'Strategy']","['Cross-Platform Multiplayer', 'Family Sharing', 'Includes level editor', 'Multi-player', 'Single-player', 'Stats', 'Steam Achievements', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,699,699,0
342020,0,BiT Evolution,178,"['Action', 'Adventure', 'Indie']","['Family Sharing', 'Partial Controller Support', 'Single-player', 'Stats', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,699,699,0
342200,0,MechWarrior Online,0,"['Action', 'Free To Play', 'Massively Multiplayer', 'Simulation', 'Strategy']","['In-App Purchases', 'MMO', 'Multi-player', 'Steam Achievements']",0,0,0,0
342230,0,Air Guardians,0,"['Action', 'Indie', 'Simulation']","['Family Sharing', 'Partial Controller Support', 'Single-player']",GBP,79,79,0
342240,0,SCHAR: Blue Shield Alliance,287,"['Action', 'Indie']","['Captions available', 'Co-op', 'Family Sharing', 'Full controller support', 'Multi-player', 'Remote Play Together', 'Shared/Split Screen', 'Shared/Split Screen Co-op', 'Single-player', 'Stats', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,339,339,0
342300,0,Zombie Kill of the Week - Reborn,246,"['Action', 'Indie']","['Cross-Platform Multiplayer', 'Family Sharing', 'Multi-player', 'Partial Controller Support', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']",GBP,499,499,0
342310,0,RIOT - Civil Unrest,0,"['Indie', 'Simulation', 'Strategy']","['Co-op', 'Family Sharing', 'Full controller support', 'Multi-player', 'PvP', 'Remote Play Together', 'Shared/Split Screen', 'Shared/Split Screen Co-op', 'Shared/Split Screen PvP', 'Single-player', 'Steam Achievements']",GBP,1299,1299,0
342350,0,Into The Gloom,255,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']","['Family Sharing', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,499,244,51
342370,0,Company of Heroes: Europe at War,0,"['Action', 'Free To Play', 'Strategy']","['Co-op', 'Multi-player', 'Single-player', 'Steam Cloud']",0,0,0,0
342380,0,Sakura Angels,181,"['Casual', 'Indie']","['Family Sharing', 'Single-player', 'Steam Trading Cards']",GBP,699,699,0
342480,0,Gunscape,0,"['Action', 'Indie']","['Co-op', 'Cross-Platform Multiplayer', 'Family Sharing', 'Includes level editor', 'Multi-player', 'Partial Controller Support', 'Remote Play Together', 'Shared/Split Screen', 'Single-player', 'Steam Achievements']",GBP,1499,1499,0
342520,0,BoxesWithGuns,0,"['Action', 'Indie']","['Family Sharing', 'Full controller support', 'Single-player', 'Steam Achievements']",GBP,159,159,0
342570,0,HIS (Heroes In the Sky),7,['Indie'],['Partial Controller Support'],0,0,0,0
342580,0,12 Labours of Hercules,252,"['Casual', 'Strategy']","['Family Sharing', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,199,199,0
342610,0,HyperRogue,229,['Indie'],"['Co-op', 'Family Sharing', 'Includes level editor', 'Multi-player', 'Partial Controller Support', 'Remote Play Together', 'Shared/Split Screen', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards', 'Tracked Controller Support', 'VR Supported']",GBP,850,850,0
342620,0,It came from space and ate our brains,362,"['Action', 'Casual', 'Indie']","['Co-op', 'Family Sharing', 'Full controller support', 'Multi-player', 'Remote Play Together', 'Shared/Split Screen', 'Shared/Split Screen Co-op', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,850,850,0
